no,category,company_product,market,estimating_core,fused_business,actual_fusion_model,buyer,monetization,official_url,lukas_priority,lukas_takeaway
1,"수량·견적","RIB CostX","글로벌","2D·BIM 수량산출과 견적","BIM 협업·원가 데이터","도면·BIM 측정값을 견적서와 원가 라이브러리로 연결","QS·적산사·시공사","기업 구독/견적","https://www.rib-software.com/en/rib-costx","P0","IFC 요소-수량-내역 근거 연결의 직접 벤치마크"
2,"수량·견적","Autodesk Takeoff","글로벌","2D·3D 수량산출","공통문서환경·현장관리","ACC 문서와 모델에서 산출해 예산·프로젝트 흐름으로 전달","시공사·전문건설사","사용자 구독","https://construction.autodesk.com/products/autodesk-takeoff/","P0","현재 IFC 뷰어와 검증 수량을 한 화면에서 연결"
3,"수량·견적","Bluebeam Revu","글로벌","PDF 측정·마크업","문서협업·Excel","측정 마크업을 Studio 협업과 Excel 수량표로 전달","견적자·설계사·시공사","사용자 연간 구독","https://www.bluebeam.com/workflows/takeoffs-and-estimation/","P1","가벼운 측정 UX와 사람 검토 기록을 참고"
4,"수량·견적","PlanSwift","북미","디지털 도면 수량산출","조립식 원가·입찰","측정값에 재료·노무 조립식을 적용해 입찰 견적 생성","전문건설사·견적자","라이선스/구독","https://www.planswift.com/","P1","승인된 산식 템플릿과 품목 매핑 UX"
5,"수량·견적","STACK","북미","클라우드 수량산출","견적·팀 협업","도면 측정, 품목 원가, 제안서, 협업을 웹에서 통합","전문건설사·GC","SaaS 구독","https://www.stackct.com/","P0","설치 없이 검토하는 웹 BOQ 흐름"
6,"수량·견적","Togal.AI","북미","AI 도면 수량산출","견적 생산성 서비스","자동 측정 후 사람이 확인하고 견적 시스템으로 내보냄","견적팀·시공사","SaaS/기업 견적","https://www.togal.ai/","L3","AI는 최종 단계라는 원칙과 인간 검토 구조 참고"
7,"수량·견적","Kreo","유럽·글로벌","AI·수동 도면 수량산출","BOQ·원가견적·협업","도면 인식부터 BOQ와 원가 견적, 보고서까지 웹에서 연결","QS·견적자","사용자 구독","https://www.kreo.net/","P1","수량표-산식-보고서의 빠른 브라우저 경험"
8,"수량·견적","Buildxact","북미·호주","주택 수량산출·견적","자재가격·일정·청구","견적에서 실시간 자재가격, 일정, 구매, 송장으로 확장","중소 주택건설사","월/연 구독","https://www.buildxact.com/us/","P1","적산을 자재 주문과 청구 매출로 연결"
9,"수량·견적","Buildsoft Cubit","호주·글로벌","디지털 수량산출","견적·회계 연계","산출 데이터를 견적과 외부 회계·업무 시스템에 전달","QS·시공사","라이선스/구독","https://www.buildsoft.com.au/cubit/","P1","내역 편집과 Excel 왕복 안정성 참고"
10,"수량·견적","XCost Pro + XPixels","한국","CAD 기반 공종별 수량산출","단가DB·내역·기성","마감·골조·전기·설비 산출을 한국형 내역·원가관리로 연결","적산사·시공사","연간 구독/패키지","https://www.howcost.co.kr/introduction","P0","한국 실무 단가·내역 호환은 장기 핵심"
11,"수량·견적","Trimble WinEst","글로벌","건설 견적","원가 DB·기업 분석","표준화한 견적과 과거 원가 데이터를 기업 단위로 재사용","대형 시공사","기업 라이선스","https://www.trimble.com/en/products/winest","P2","승인 단가책과 과거 프로젝트 벤치마크"
12,"수량·견적","Sage Estimating","북미","상세 견적","회계·프로젝트 원가","견적을 Sage 건설 회계·원가 시스템과 연결","시공사·전문건설사","라이선스/구독","https://www.sage.com/en-us/products/sage-estimating/","P2","BOQ에서 회계로 넘기는 표준 인터페이스"
13,"수량·견적","ProEst","북미","클라우드 견적·수량산출","입찰·CRM·ERP 연동","견적, 원가 DB, 입찰 제안서를 기업 시스템과 연결","GC·토목시공사","기업 SaaS","https://proest.com/","P2","검증 수량을 영업 제안서로 전환"
14,"수량·견적","ConQuest Estimating","영국","견적·입찰 분석","공급망 견적 요청","내역 작성과 하도급 견적 비교·입찰 관리를 결합","중대형 시공사","기업 라이선스","https://www.conquest.ltd.uk/","P2","품목별 업체 견적 비교 모듈"
15,"수량·견적","Causeway CATO","영국","토목 견적","입찰·원가 통제","견적, 자원 단가, 입찰 분석을 토목 사업관리로 연결","토목 시공사","기업 구독","https://www.causeway.com/products/cato","P2","공종·자원 기준 구조와 실행원가 연결"
16,"입찰·조달","HowBuild + Smacon","한국","BIM 수량·공내역","입찰 중개·PM·공사관리","동일 공내역에 업체가 가격을 넣고 계약·기성 관리까지 연결","건축주·건설사","용역비+프로젝트 수수료","https://smacon.howbuild.com/","P0","검증 BOQ를 입찰 비교의 공통 기준으로 판매"
17,"입찰·조달","Autodesk BuildingConnected","북미","견적 기회·입찰 패키지","하도급 네트워크·사전심사","입찰 패키지와 업체 네트워크를 연결해 견적 수집·비교","GC·전문건설사","기업 구독","https://construction.autodesk.com/products/buildingconnected/","P1","승인 내역을 업체 단가 입력 화면으로 확장"
18,"입찰·조달","ConstructConnect","북미","수량산출·견적","프로젝트 리드·입찰 네트워크","프로젝트 발견, 도면 산출, 입찰 관리를 하나의 영업 퍼널로 연결","GC·전문건설사·공급사","구독/데이터 서비스","https://www.constructconnect.com/","P1","적산 결과를 신규 수주 리드와 결합"
